"VMName","NetworkName"
"12.150-Tesseract","PROD"
"12.151-OTDEV2Tesseract","PROD"
"12.111-OTDEV2DS1","PROD"
"12.22-OTDEV2SQL02","PROD"
"11.126 - OTDEV1PA3","PROD"
"14.52-OTDEV4CSBRJB","PROD"
"30.176-ROBRHEL9Test3","PROD"
"11.214-OTDEV1-LOADRUNNER3","PROD"
"AWS-DATASYNCAGENT","PROD"
"11.131 - OTDEV1SC1","PROD"
"23.100-OTMGMTAUTO","PROD"
"11.010-OTDEV1-BC","PROD"
"12.47-OTDEV2CSBR02","PROD"
"19.013-203LocalSQL","PROD"
"19.033-203RegionalSQL (Old)","PROD"
"12.167-OTDEV2PM02","PROD"
"30.186 - AL2 Rob Foster","PROD"
"12.41-OTDEV2CSFE","PROD"
"11.135 - OTDEV1CSBV1","PROD"
"11.198-HP-UFT","PROD"
"14.62-OTDEV4CS02","PROD"
"11.211-OTDEV1FORTIFY","PROD"
"12.11-OTDEV2DS01","PROD"
"12.24-OTDEV2BRData01","PROD"
"12.37-OTDEV2AWBR02","PROD"
"12.21-OTDEV2SQL01","PROD"
"11.026-OTDEV1SPSQL01","PROD"
"11.150-OTDEVAC-SQL","PROD"
"40.017-CMTARS-SA","PROD"
"11.129 - OTDEV1OTDSSQL1","PROD"
"11.050-BCS","PROD"
"30.169 - ROB RHEL8","PROD"
"12.12-OTDEV2DS02","PROD"
"41.040 CMTARS-BRAVA-1","PROD"
"11.253-OTDC2","PROD"
"12.39-OTDEV2AWBRJB02","PROD"
"11.56-OTDEV1-MA","PROD"
"12.31-OTDEV2PS01","PROD"
"11.141-OTDEV1PS01","PROD"
"11.034-OTDEV1-NS","PROD"
"40.036 CMTARS-SQL-2","PROD"
"11.207-HPUFTLicense","PROD"
"12.15-OTDEV2FS01","PROD"
"21.112 - OTDEV9SQLWK","PROD"
"12.166-OTDEV2PM01","PROD"
"11.083-OTDEV1-BL2","PROD"
"11.128 - OTDEV1OTDS1","PROD"
"12.61-OTDEV2CENSQL","PROD"
"30.159 - AL2 Dylan Matteson","PROD"
"12.49-OTDEV2CSBRJB02","PROD"
"21.125-OTDEV9OTWFE1","PROD"
"11.030-OTDEV1-NV","PROD"
"11.088-Dev1HAIMSCenSQL","PROD"
"12.42-OTDEV2CSADMIN","PROD"
"11.216-OTDEV1-DEVOPS1","PROD"
"12.67-OTDEV2REG01","PROD"
"12.46-OTDEV2CSBR01","PROD"
"11.238.OTDEV1-VISIO2022","PROD"
"12.62-OTDEV2CEN01","PROD"
"12.66-OTDEV2REGSQL","PROD"
"14.61-OTDEV4CS01","PROD"
"11.165-OTDEV1-CodeSign","PROD"
"11.254-OTDC","PROD"
"13.111-OTDEV3DS1","PROD"
"30.172-AL2023RFOSTER6","PROD"
"12.36-OTDEV2AWBR01","PROD"
"11.120 - OTDEV1IV2","PROD"
"12.32-OTDEV2PS02","PROD"
"11.005-OTDEV1-AS02","PROD"
"19.034-203REGHERADB","PROD"
"12.38-OTDEV2AWBRJB01","PROD"
"13.253-OTDEV3DC2","PROD"
"12.48-OTDEV2CSBRJB01","PROD"
"40.045 CMTARS-WEB-1","PROD"
"11.236-OTDEV1-YW2","PROD"
